id,citation_counts
1606.08449,20
1606.08468,4
1606.08524,38
1606.08529,6
1606.08588,8
1606.08598,91
1606.08624,26
1606.08674,5
1606.08678,1
1606.08682,39
1606.08711,6
1606.08784,56
1606.08807,58
1606.08953,24
1606.08982,3
1606.09098,2
1606.09134,12
1606.09162,5
1606.09210,32
1606.09231,9
1606.09245,53
1606.09257,8
1606.09260,17
1606.09304,23
1606.09307,23
1606.09319,9
1606.09447,2
1606.09453,8
1606.09479,13
1606.09491,6
1606.09525,0
1606.09535,17
1606.09543,24
1606.09593,35
1606.09616,72
1606.09628,39
1606.09644,20
1607.00009,68
1607.00018,10
1607.00026,31
1607.00037,22
1607.00060,6
1607.00068,7
1607.00075,2
